GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1282904298,2025-01-08,202501,2025,04,1,1.9,4.118993135,UNKNOWN,GOV,BN,6,6,positif,1,2,stable,cooperation,sud_centre,1,0.5,1.1095,3,76,7,0.2920910337519948,1.1571408368168177,0.17727507554025476,0,Evenements neutres
1282892989,2025-01-08,202501,2025,04,1,1.9,0.505050505,BEN,UNKNOWN,BN,1,1,neutre,1,1,stable,cooperation,sud_centre,1,0.1781,-0.6975,3,5,25,0.2920910337519948,0.3745573080555471,-1.0572945269166245,0,Evenements neutres
1282892990,2025-01-08,202501,2025,17,4,-5.0,0.505050505,BEN,UNKNOWN,BN,2,2,neutre,1,1,tres_instable,conflit,sud_centre,1,0.2823,2.7525,16,5,25,-1.2087299214120049,0.3745573080555471,-0.8103806064252487,1,Conflits et tensions
1296348347,2025-03-27,202503,2025,19,4,-10.0,-0.94637224,BEN,UNKNOWN,BN07,3,3,neutre,1,1,tres_instable,conflit,sud_centre,3,0.3562,5.4732,18,5,25,-2.2962813381975122,0.060258037204512685,-0.5634666859338728,1,Conflits et tensions
1224089152,2025-02-01,202502,2025,04,1,1.0,-0.939597315,BEN,UNKNOWN,BN18,4,4,neutre,1,1,neutre,cooperation,sud_centre,2,0.4135,-0.0302,3,5,25,0.0963317787306036,0.06172511769150784,-0.316552765442497,0,Evenements neutres
1224086313,2025-02-01,202502,2025,04,1,1.0,3.519061584,BEN,UNKNOWN,BN08,14,8,positif,1,2,neutre,cooperation,sud_centre,2,0.6958,1.2595,3,5,25,0.0963317787306036,1.0272282736511975,2.152586439471262,0,Evenements neutres
1224027005,2025-02-01,202502,2025,01,1,0.0,-5.555555556,BEN,UNKNOWN,BN,4,4,negatif,0,0,neutre,cooperation,sud_centre,2,0.4135,2.7778,0,5,25,-0.1211785046264978,-0.9378405253459542,-0.316552765442497,0,Evenements neutres
1224018664,2025-02-01,202502,2025,04,1,1.0,2.753195674,BEN,UNKNOWN,BN,10,10,positif,1,2,neutre,cooperation,sud_centre,2,0.6161,0.8766,3,5,25,0.0963317787306036,0.861383348103566,1.1649307575057584,0,Evenements neutres
1224090501,2025-02-02,202502,2025,02,1,3.0,-5.509641873,BEN,UNKNOWN,BN,4,4,negatif,0,0,stable,cooperation,sud_centre,2,0.4135,1.2548,1,5,25,0.5313523454448064,-0.9278981173613077,-0.316552765442497,0,Evenements neutres
1224090502,2025-02-02,202502,2025,03,1,4.0,-5.509641873,BEN,UNKNOWN,BN,4,4,negatif,0,0,stable,cooperation,sud_centre,2,0.4135,0.7548,2,5,25,0.7488626288019078,-0.9278981173613077,-0.316552765442497,0,Evenements neutres
